"targetName","kernelName","language","answer","guess","isCorrect"
"rodrigues-omp","__omp_offloading_10309_2fc5867__Z6rotateif6float3PS__l22","OMP","Bandwidth","Compute",False
"rodrigues-omp","__omp_offloading_10309_2fc5867__Z7rotate2if6float3P6float4_l54","OMP","Bandwidth","Compute",False
"svd3x3-omp","__omp_offloading_10309_2fc5f4c__Z9runDevicePfS_ii_l20","OMP","Bandwidth","Compute",False
"ecdh-omp","__omp_offloading_10309_2f06c37__Z6k_slowiiiPiS_jii_l158","OMP","Bandwidth","Bandwidth",True
"ecdh-omp","__omp_offloading_10309_2f06c37__Z6k_fastiiiPiS_jii_l173","OMP","Bandwidth","Compute",False
"sad-omp","__omp_offloading_10309_2fc59ba__Z17compute_sad_arrayPiPKhS1_iRiS2_iiiiiRd_l27","OMP","Bandwidth","Bandwidth",True
"sad-omp","__omp_offloading_10309_2fc59ba__Z17compute_sad_arrayPiPKhS1_iRiS2_iiiiiRd_l66","OMP","Bandwidth","Bandwidth",True
"sad-omp","__omp_offloading_10309_2fc59ba__Z17compute_sad_arrayPiPKhS1_iRiS2_iiiiiRd_l66","OMP","Bandwidth","Bandwidth",True
"particle-diffusion-cuda","Simulation(float *, float *, const float *, const float *, unsigned long *, unsigned long, unsigned int, int, float)","CUDA","Bandwidth","Bandwidth",True
"ccsd-trpdrv-cuda","ccsd_kernel(const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, double, double *, double *, double *, double *, int, int, int)","CUDA","Bandwidth","Bandwidth",True
"rng-wallace-cuda","rng_wallace(unsigned int, float *, float *, float *)","CUDA","Bandwidth","Compute",False
"ga-omp","__omp_offloading_10309_2f08697_main_l83","OMP","Bandwidth","Bandwidth",True
"ga-omp","__omp_offloading_10309_2f08697__Z2gaPKcS0_Pcjiiii_l18","OMP","Bandwidth","Bandwidth",True
"snake-cuda","sneaky_snake(const unsigned int *, const unsigned int *, int *, int, int)","CUDA","Bandwidth","Bandwidth",True
"bitcracker-cuda","kernel_w_block(const unsigned char *, const unsigned char *, unsigned int *)","CUDA","Bandwidth","Compute",False
"urng-cuda","noise_uniform(const uchar4 *, uchar4 *, int)","CUDA","Bandwidth","Compute",False
"warpsort-cuda","sortDevice(DeviceTensor<float, 1, int, DefaultPtrTraits>, DeviceTensor<float, 1, int, DefaultPtrTraits>)","CUDA","Bandwidth","Bandwidth",True
"perplexity-omp","__omp_offloading_10309_2fc5568__Z17perplexity_searchIifEvPKT0_PS0_fifT_iRd_l41","OMP","Bandwidth","Compute",False
"randomAccess-omp","__omp_offloading_10309_2fc5771_main_l109","OMP","Bandwidth","Bandwidth",True
"randomAccess-omp","__omp_offloading_10309_2fc5771_main_l103","OMP","Bandwidth","Bandwidth",True
"blas-gemm-cuda","void matrix_mul<__half>(T1 *, T1 *, T1 *, int, int, int, T1, T1)","CUDA","Bandwidth","Compute",False
"blas-gemm-cuda","void matrix_mul<float>(T1 *, T1 *, T1 *, int, int, int, T1, T1)","CUDA","Bandwidth","Compute",False
"nw-omp","__omp_offloading_10309_2fc53fe_main_l169","OMP","Bandwidth","Compute",False
"nw-omp","__omp_offloading_10309_2fc53fe_main_l238","OMP","Bandwidth","Compute",False
"gaussian-omp","__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l186","OMP","Bandwidth","Compute",False
"gaussian-omp","__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l192","OMP","Bandwidth","Compute",False
"hausdorff-cuda","computeDistance(const float2 *, const float2 *, float *, int, int)","CUDA","Compute","Bandwidth",False
"laplace3d-omp","__omp_offloading_10309_2fc3650__Z9laplace3diiiiPKfPf_l36","OMP","Bandwidth","Compute",False
"axhelm-cuda","axhelm(int, int, const float *, const float *, const float *, const float *, float *)","CUDA","Bandwidth","Bandwidth",True
"hotspot3D-cuda","hotspot3d(const float *, const float *, float *, int, int, int, float, float, float, float, float, float, float, float)","CUDA","Bandwidth","Compute",False
"sampling-omp","__omp_offloading_10309_2fc59cb_main_l222","OMP","Bandwidth","Bandwidth",True
"sampling-omp","__omp_offloading_10309_2fc59cb_main_l190","OMP","Bandwidth","Bandwidth",True
"aobench-omp","__omp_offloading_10309_2f042e2__Z6renderPhiiiPK7_SphereRK6_Plane_l303","OMP","Compute","Compute",True
"qtclustering-cuda","compute_degrees(int *, int *, int, int)","CUDA","Bandwidth","Compute",False
"qtclustering-cuda","QTC_device(float *, char *, char *, int *, int *, int *, float *, int *, int, int, int, float, int, int, int)","CUDA","Bandwidth","Compute",False
"qtclustering-cuda","update_clustered_pnts_mask(char *, char *, int)","CUDA","Bandwidth","Bandwidth",True
"qtclustering-cuda","trim_ungrouped_pnts_indr_array(int, int *, float *, int *, char *, char *, int *, int *, float *, int *, int, int, int, float)","CUDA","Bandwidth","Bandwidth",True
"qtclustering-cuda","reduce_card_device(int *, int)","CUDA","Bandwidth","Compute",False
"atan2-omp","__omp_offloading_10309_2f04339__Z9compute_iiPKfS0_Pi_l306","OMP","Bandwidth","Compute",False
"atan2-omp","__omp_offloading_10309_2f04339__Z9compute_fiPKfS0_Pf_l269","OMP","Bandwidth","Compute",False
"atan2-omp","__omp_offloading_10309_2f04339__Z9compute_siPKfS0_Ps_l289","OMP","Bandwidth","Compute",False
"rng-wallace-omp","__omp_offloading_10309_2fc5856_main_l65","OMP","Bandwidth","Bandwidth",True
"meanshift-omp","__omp_offloading_10309_2fc4bc6__ZN10mean_shift3gpu10mean_shiftEPKfPfii_l12","OMP","Compute","Compute",True
"meanshift-omp","__omp_offloading_10309_2fc4bc6__ZN10mean_shift3gpu17mean_shift_tilingEPKfPfii_l39","OMP","Compute","Bandwidth",False
"bilateral-omp","__omp_offloading_10309_2f044be__Z15bilateralFilterILi3EEvPKfPfiifff_l18","OMP","Compute","Bandwidth",False
"bilateral-omp","__omp_offloading_10309_2f044be__Z15bilateralFilterILi6EEvPKfPfiifff_l18","OMP","Compute","Bandwidth",False
"bilateral-omp","__omp_offloading_10309_2f044be__Z15bilateralFilterILi9EEvPKfPfiifff_l18","OMP","Compute","Bandwidth",False
"popcount-omp","__omp_offloading_10309_2fc55f6_main_l149","OMP","Bandwidth","Compute",False
"popcount-omp","__omp_offloading_10309_2fc55f6_main_l149","OMP","Bandwidth","Compute",False
"popcount-omp","__omp_offloading_10309_2fc55f6_main_l149","OMP","Bandwidth","Compute",False
"popcount-omp","__omp_offloading_10309_2fc55f6_main_l149","OMP","Bandwidth","Compute",False
"popcount-omp","__omp_offloading_10309_2fc55f6_main_l149","OMP","Bandwidth","Compute",False
"popcount-omp","__omp_offloading_10309_2fc55f6_main_l149","OMP","Bandwidth","Compute",False
"gd-cuda","compute(const float *, float *, const int *, const int *, const float *, const int *, float *, int *, int)","CUDA","Bandwidth","Compute",False
"gd-cuda","update(float *, const float *, int, int, float, float)","CUDA","Bandwidth","Bandwidth",True
"gd-cuda","L2_norm(const float *, float *, int)","CUDA","Bandwidth","Compute",False
"inversek2j-omp","__omp_offloading_10309_2fc34bc_main_l171","OMP","Bandwidth","Compute",False
"chi2-omp","__omp_offloading_10309_2f04983_main_l55","OMP","Bandwidth","Bandwidth",True
"bonds-cuda","bonds(inArgsStruct, resultsStruct, int)","CUDA","Bandwidth","Bandwidth",True
"sort-cuda","bottom_scan(unsigned int *, const unsigned int *, const unsigned int *, unsigned long, unsigned int)","CUDA","Bandwidth","Compute",False
"sort-cuda","reduce(const unsigned int *, unsigned int *, unsigned long, unsigned int)","CUDA","Bandwidth","Compute",False
"sort-cuda","top_scan(unsigned int *, unsigned long)","CUDA","Bandwidth","Bandwidth",True
"chi2-cuda","kernel(unsigned int, unsigned int, int, int, const unsigned char *, float *)","CUDA","Bandwidth","Bandwidth",True
"rainflow-omp","__omp_offloading_10309_2fc5762_main_l180","OMP","Bandwidth","Bandwidth",True
"dct8x8-cuda","IDCT8x8_kernel(float *, const float *, unsigned int, unsigned int, unsigned int)","CUDA","Bandwidth","Compute",False
"dct8x8-cuda","DCT8x8_kernel(float *, const float *, unsigned int, unsigned int, unsigned int)","CUDA","Bandwidth","Compute",False
"che-cuda","cahnHilliard(double (*)[256][256], const double (*)[256][256], const double (*)[256][256], double, double, double, double, double)","CUDA","Bandwidth","Compute",False
"che-cuda","Swap(double (*)[256][256], double (*)[256][256])","CUDA","Bandwidth","Bandwidth",True
"che-cuda","chemicalPotential(const double (*)[256][256], double (*)[256][256], double, double, double, double, double, double, double)","CUDA","Bandwidth","Compute",False
"che-cuda","localFreeEnergyFunctional(const double (*)[256][256], double (*)[256][256], double, double, double, double, double, double, double)","CUDA","Bandwidth","Compute",False
"crc64-omp","__omp_offloading_10309_2f056fc_crc64_omp_l1428","OMP","Bandwidth","Bandwidth",True
"ace-omp","__omp_offloading_10309_2f0414b__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117","OMP","Bandwidth","Bandwidth",True
"ace-omp","__omp_offloading_10309_2f0414b__Z19boundaryConditionsUPA400_A400_dd_l230","OMP","Bandwidth","Bandwidth",True
"ace-omp","__omp_offloading_10309_2f0414b__Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214","OMP","Bandwidth","Compute",False
"ace-omp","__omp_offloading_10309_2f0414b__Z21boundaryConditionsPhiPA400_A400_d_l180","OMP","Bandwidth","Bandwidth",True
"ace-omp","__omp_offloading_10309_2f0414b__Z8swapGridPA400_A400_dS1__l261","OMP","Bandwidth","Bandwidth",True
"ace-omp","__omp_offloading_10309_2f0414b__Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd_l160","OMP","Bandwidth","Compute",False
"ss-omp","__omp_offloading_10309_2fc5e0a_main_l306","OMP","Bandwidth","Bandwidth",True
"vol2col-omp","__omp_offloading_10309_2fc61d2__Z14col2vol_kernelIffEvPKT_mjjjjjjjjjjjjjjjjjjPS0__l89","OMP","Bandwidth","Bandwidth",True
"vol2col-omp","__omp_offloading_10309_2fc61d2__Z14vol2col_kernelIfEvPKT_iiiiiiiiiiiiiiiiiiiPS0__l35","OMP","Bandwidth","Bandwidth",True
"frechet-cuda","distance_norm2(int, int, double *, const double *, const double *)","CUDA","Bandwidth","Compute",False
"frechet-cuda","distance_norm3(int, int, double *, const double *, const double *)","CUDA","Bandwidth","Compute",False
"frechet-cuda","distance_norm1(int, int, double *, const double *, const double *)","CUDA","Bandwidth","Compute",False
"jenkins-hash-omp","__omp_offloading_10309_2fc3517_main_l226","OMP","Bandwidth","Compute",False
"wordcount-omp","__omp_offloading_10309_2fc6292__Z10word_countRKSt6vectorIcSaIcEE_l43","OMP","Bandwidth","Bandwidth",True
"eigenvalue-cuda","calNumEigenValueInterval(unsigned int *, const float *, const float *, const float *, unsigned int)","CUDA","Compute","Compute",True
"eigenvalue-cuda","recalculateEigenIntervals(float *, const float *, const unsigned int *, const float *, const float *, unsigned int, float)","CUDA","Bandwidth","Compute",False
"lombscargle-omp","__omp_offloading_10309_2fc4989_main_l121","OMP","Compute","Compute",True
"fpdc-omp","__omp_offloading_10309_2f085ec__Z17CompressionKerneliiiPKyPcPKiPi_l91","OMP","Bandwidth","Bandwidth",True
"histogram-cuda","void histogram_smem_accum<1024, 1, 256>(const unsigned int *, int, unsigned int *)","CUDA","Bandwidth","Bandwidth",True
"histogram-cuda","void histogram_gmem_atomics<1024, 1, 256, uchar1>(const T4 *, int, int, unsigned int *)","CUDA","Bandwidth","Bandwidth",True
"histogram-cuda","void histogram_smem_atomics<1024, 1, 256, uchar1>(const T4 *, int, int, unsigned int *)","CUDA","Bandwidth","Bandwidth",True
"histogram-cuda","void histogram_gmem_accum<1024, 1, 256>(const unsigned int *, int, unsigned int *)","CUDA","Bandwidth","Bandwidth",True
"fft-omp","__omp_offloading_10309_2f06dfe_main_l247","OMP","Bandwidth","Compute",False
"fft-omp","__omp_offloading_10309_2f06dfe_main_l247","OMP","Bandwidth","Compute",False
"distort-omp","__omp_offloading_10309_2f06ac2__Z14barrel_distortPK6uchar3PS_PK10Properties_l76","OMP","Bandwidth","Bandwidth",True
"minisweep-cuda","wavefronts(int, int, int, int, int, Dimensions, StepInfoAll, double *, double *, double *, double *, double *, double *, double *, double *)","CUDA","Bandwidth","Compute",False
"minisweep-cuda","init_faceyz(int, int, int, int, int, int, int, int, int, StepInfoAll, double *)","CUDA","Bandwidth","Bandwidth",True
"minisweep-cuda","init_faceyz(int, int, int, int, int, int, int, int, int, StepInfoAll, double *)","CUDA","Bandwidth","Bandwidth",True
"minisweep-cuda","init_facexz(int, int, int, int, int, int, int, int, int, StepInfoAll, double *)","CUDA","Bandwidth","Bandwidth",True
"minisweep-cuda","init_facexy(int, int, int, int, int, int, int, int, double *)","CUDA","Bandwidth","Bandwidth",True
"lebesgue-cuda","kernel(double *, double *, const double *, const double *, int, int)","CUDA","Bandwidth","Compute",False
"secp256k1-cuda","secp256k1(const secp256k1_ge_storage *, unsigned char *)","CUDA","Bandwidth","Compute",False
"hotspot3D-omp","__omp_offloading_10309_2fc2e6a_main_l94","OMP","Bandwidth","Compute",False
"distort-cuda","barrel_distort(const uchar3 *, uchar3 *, const Properties *)","CUDA","Bandwidth","Bandwidth",True
"knn-omp","__omp_offloading_10309_2fc35bf_main_l183","OMP","Compute","Bandwidth",False
"knn-omp","__omp_offloading_10309_2fc35bf_main_l254","OMP","Bandwidth","Bandwidth",True
"knn-omp","__omp_offloading_10309_2fc35bf_main_l310","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnSharedMemIdEvPT_i_l41","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnSharedMemIdEvPT_i_l41","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z28SingleRangeAtomicOnGlobalMemIfEvPT_ii_l31","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z28SingleRangeAtomicOnGlobalMemIfEvPT_ii_l31","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnSharedMemIfEvPT_i_l63","OMP","Compute","Bandwidth",False
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnSharedMemIfEvPT_i_l63","OMP","Compute","Bandwidth",False
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnGlobalMemIfEvPT_i_l11","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnGlobalMemIfEvPT_i_l11","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnSharedMemIdEvPT_i_l63","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z28SingleRangeAtomicOnSharedMemIdEvPT_ii_l85","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z28SingleRangeAtomicOnGlobalMemIiEvPT_ii_l31","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z28SingleRangeAtomicOnGlobalMemIiEvPT_ii_l31","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnGlobalMemIfEvPT_i_l21","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnGlobalMemIiEvPT_i_l21","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z28SingleRangeAtomicOnSharedMemIiEvPT_ii_l85","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnSharedMemIiEvPT_i_l63","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnSharedMemIiEvPT_i_l63","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnSharedMemIiEvPT_i_l41","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnGlobalMemIdEvPT_i_l11","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnGlobalMemIdEvPT_i_l11","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z28SingleRangeAtomicOnSharedMemIfEvPT_ii_l85","OMP","Compute","Bandwidth",False
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnSharedMemIfEvPT_i_l41","OMP","Compute","Bandwidth",False
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnGlobalMemIdEvPT_i_l21","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z26WarpRangeAtomicOnGlobalMemIdEvPT_i_l21","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z27BlockRangeAtomicOnGlobalMemIiEvPT_i_l11","OMP","Bandwidth","Bandwidth",True
"atomicPerf-omp","__omp_offloading_10309_2f0437f__Z28SingleRangeAtomicOnGlobalMemIdEvPT_ii_l31","OMP","Bandwidth","Bandwidth",True
"matrix-rotate-cuda","rotate_matrix_parallel(float *, int)","CUDA","Bandwidth","Bandwidth",True
"page-rank-omp","__omp_offloading_10309_2fc549e_main_l181","OMP","Bandwidth","Bandwidth",True
"page-rank-omp","__omp_offloading_10309_2fc549e_main_l181","OMP","Bandwidth","Compute",False
"page-rank-omp","__omp_offloading_10309_2fc549e_main_l181","OMP","Bandwidth","Bandwidth",True
"atomicPerf-cuda","void BlockRangeAtomicOnSharedMem<double>(T1 *, int)","CUDA","Bandwidth","Bandwidth",True
"atomicPerf-cuda","void SingleRangeAtomicOnSharedMem<double>(T1 *, int, int)","CUDA","Bandwidth","Compute",False
"atomicPerf-cuda","void WarpRangeAtomicOnSharedMem<double>(T1 *, int)","CUDA","Bandwidth","Bandwidth",True
"atomicPerf-cuda","void SingleRangeAtomicOnGlobalMem<double>(T1 *, int, int)","CUDA","Bandwidth","Bandwidth",True
"atomicPerf-cuda","void BlockRangeAtomicOnGlobalMem<double>(T1 *, int)","CUDA","Bandwidth","Bandwidth",True
"atomicPerf-cuda","void WarpRangeAtomicOnGlobalMem<double>(T1 *, int)","CUDA","Bandwidth","Bandwidth",True
"ccsd-trpdrv-omp","__omp_offloading_10309_2f04826__Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l44","OMP","Bandwidth","Compute",False
"rushlarsen-cuda","k_forward_rush_larsen(double *, double, double, const double *, int)","CUDA","Bandwidth","Compute",False
"ccs-cuda","compute_bicluster(const float *, int, int, int, float, char *, char *, float *, int *, int *, char *, char *)","CUDA","Bandwidth","Compute",False
"dslash-omp","__omp_offloading_10309_2f06b70__Z9dslash_fnRKSt6vectorI11dsu3_vectorSaIS0_EERS2_RKS_I11dsu3_matrixSaIS6_EESA_RS8_SB_PmSC_SC_SC_mm_l64","OMP","Bandwidth","Compute",False
"dslash-omp","__omp_offloading_10309_2f06b70__Z9dslash_fnRKSt6vectorI11dsu3_vectorSaIS0_EERS2_RKS_I11dsu3_matrixSaIS6_EESA_RS8_SB_PmSC_SC_SC_mm_l93","OMP","Bandwidth","Compute",False
"pool-cuda","void KernelPool2DGrad<AvgPoolGrad<float>, float, 11, 11, 4, 4, 1, 1, 1>(int, const T2 *, const T2 *, const T2 *, int, int, int, int, int, T1, T2 *, bool)","CUDA","Bandwidth","Bandwidth",True
"s3d-cuda","void rdsmh_kernel<float>(const T1 *, T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void rdsmh_kernel<float>(const T1 *, T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void qssa_kernel<float>(T1 *, T1 *, T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt4_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt_kernel<float>(const T1 *, T1 *, T1)","CUDA","Bandwidth","Bandwidth",True
"s3d-cuda","void rdwdot7_kernel<float>(const T1 *, const T1 *, T1 *, T1, const T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void rdwdot9_kernel<float>(const T1 *, const T1 *, T1 *, T1, const T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratx2_kernel<float>(const T1 *, T1 *, T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratxb_kernel<float>(const T1 *, const T1 *, T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Bandwidth",True
"s3d-cuda","void ratx4_kernel<float>(const T1 *, T1 *, T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt6_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt6_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Bandwidth",True
"s3d-cuda","void qssab_kernel<float>(T1 *, T1 *, T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void rdwdot10_kernel<float>(const T1 *, const T1 *, T1 *, T1, const T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void rdwdot_kernel<float>(const T1 *, const T1 *, T1 *, T1, const T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt5_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Bandwidth",True
"s3d-cuda","void ratt8_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratx_kernel<float>(const T1 *, const T1 *, T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt9_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt2_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void qssa2_kernel<float>(T1 *, T1 *, const T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void rdwdot2_kernel<float>(const T1 *, const T1 *, T1 *, T1, const T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void gr_base<float>(const T1 *, const T1 *, const T1 *, T1 *, T1, T1)","CUDA","Bandwidth","Bandwidth",True
"s3d-cuda","void rdwdot3_kernel<float>(const T1 *, const T1 *, T1 *, T1, const T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt7_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt10_kernel<float>(const T1 *, T1 *, T1)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void ratt3_kernel<float>(const T1 *, const T1 *, T1 *, const T1 *, T1)","CUDA","Bandwidth","Bandwidth",True
"s3d-cuda","void rdwdot6_kernel<float>(const T1 *, const T1 *, T1 *, T1, const T1 *)","CUDA","Bandwidth","Compute",False
"s3d-cuda","void rdwdot8_kernel<float>(const T1 *, const T1 *, T1 *, T1, const T1 *)","CUDA","Bandwidth","Compute",False
"mriQ-omp","__omp_offloading_10309_2fc5270__Z12computeQ_GPUiiPfS_S_P7kValuesS1_S_S__l58","OMP","Compute","Compute",True
"mriQ-omp","__omp_offloading_10309_2fc5271_main_l71","OMP","Bandwidth","Compute",False
"mriQ-omp","__omp_offloading_10309_2fc5271_main_l99","OMP","Bandwidth","Compute",False
"fluidSim-omp","__omp_offloading_10309_2f085c9__Z3lbmjjPKdPdPK7double4PS2_S4_S5_PKb7double8S8_S0_d_l83","OMP","Bandwidth","Compute",False
"rtm8-cuda","rtm8(const float *, const float *, const float *, float *, float *, float *, const float *, unsigned long)","CUDA","Bandwidth","Compute",False
"softmax-cuda","softMax2(int, int, const float *, float *)","CUDA","Bandwidth","Compute",False
"dxtc2-omp","__omp_offloading_10309_2f06bc8_main_l111","OMP","Compute","Compute",True
"affine-omp","__omp_offloading_10309_2f041d2_main_l80","OMP","Compute","Bandwidth",False
"affine-omp","__omp_offloading_10309_2f041d2_main_l80","OMP","Compute","Bandwidth",False
"ccs-omp","__omp_offloading_10309_2f047f2__Z17compute_biclusterPKfiiifPcS1_PfPiS3_S1_S1__l112","OMP","Bandwidth","Compute",False
"ccs-omp","__omp_offloading_10309_2f047f2__Z17compute_biclusterPKfiiifPcS1_PfPiS3_S1_S1__l112","OMP","Bandwidth","Compute",False
"bonds-omp","__omp_offloading_10309_2f04650__Z18getBondsResultsGpu12inArgsStruct13resultsStructi_l1035","OMP","Bandwidth","Bandwidth",True
"bh-cuda","InitializationKernel(int *, unsigned int *)","CUDA","Bandwidth","Bandwidth",True
"bh-cuda","BoundingBoxKernel(int, int, int *, int *, float4 *, float3 *, float3 *, float *, int *, int *, unsigned int *)","CUDA","Bandwidth","Compute",False
"bh-cuda","ClearKernel1(int, int, int *)","CUDA","Bandwidth","Bandwidth",True
"bh-cuda","IntegrationKernel(int, float, float, float4 *, float2 *, float4 *)","CUDA","Bandwidth","Compute",False
"bh-cuda","SummarizationKernel(int, int, volatile int *, const int *, volatile float4 *, int *)","CUDA","Bandwidth","Bandwidth",True
"bh-cuda","ClearKernel2(int, int *, float4 *, int *)","CUDA","Bandwidth","Compute",False
"bh-cuda","SortKernel(int, int, int *, const int *, volatile int *, int *, int *)","CUDA","Bandwidth","Bandwidth",True
"bh-cuda","TreeBuildingKernel(int, int, volatile int *, const float4 *, const float *, int *)","CUDA","Bandwidth","Bandwidth",True
"bh-cuda","ForceCalculationKernel(int, int, float, float, float, const int *, const int *, const float4 *, float2 *, float4 *, const float *, const int *)","CUDA","Compute","Compute",True
"overlay-cuda","void DetectionOverlayBox<float3>(const T1 *, T1 *, int, int, int, int, int, int, float4)","CUDA","Bandwidth","Bandwidth",True
"bitonic-sort-cuda","bitonic_sort(int, int, int *)","CUDA","Bandwidth","Compute",False
"present-cuda","present(int, int, const unsigned char *, const unsigned char *, unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *)","CUDA","Bandwidth","Bandwidth",True
"particles-cuda","bitonicMergeGlobal(unsigned int *, unsigned int *, const unsigned int *, const unsigned int *, unsigned int, unsigned int, unsigned int, unsigned int)","CUDA","Bandwidth","Compute",False
"particles-cuda","bitonicSortLocal1(unsigned int *, unsigned int *, const unsigned int *, const unsigned int *)","CUDA","Bandwidth","Compute",False
"particles-cuda","memSetK(unsigned int *, unsigned int, unsigned int)","CUDA","Bandwidth","Compute",False
"particles-cuda","memSetK(unsigned int *, unsigned int, unsigned int)","CUDA","Bandwidth","Bandwidth",True
"particles-cuda","collideK(float4 *, const float4 *, const float4 *, const unsigned int *, const unsigned int *, const unsigned int *, simParams_t, unsigned int)","CUDA","Bandwidth","Compute",False
"particles-cuda","bitonicSortLocal1(unsigned int *, unsigned int *, const unsigned int *, const unsigned int *)","CUDA","Bandwidth","Compute",False
"particles-cuda","findCellBoundsAndReorderK(unsigned int *, unsigned int *, float4 *, float4 *, const unsigned int *, const unsigned int *, const float4 *, const float4 *, unsigned int)","CUDA","Bandwidth","Bandwidth",True
